EAR       	MAR	       Label
0.291152756	0.033580358	0
0.389807603	0.052230876	0
0.298019014	0.051598076	0
0.340898195	0.040890966	0
0.316801525	0.029635369	0
0.323024212	0.017062886	0
0.33341804	0.010644417	0
0.305087768	0.015115567	0
0.318368325	0.007915004	0
0.357977054	0.032978951	0
0.31776212	0.010241325	0
0.32796116	0.011801759	0
0.283917319	0.018662182	0
0.312297279	0.007252669	0
0.325022994	0.020807941	0
0.41030417	0.014151174	0
0.293717221	0.008954236	0
0.282844286	0.035236866	0
0.341078016	0.013603414	0
0.295763554	0.006318853	0
0.331625653	0.01270064	0
0.31456985	0.050290617	0
0.303576091	0.056371742	0
0.342387706	0.164073575	0
0.377542848	0.046840034	0
0.370972366	0.028258899	0
0.371708047	0.014721135	0
0.378498664	0.01445614	0
0.37183545	0.008792836	0
0.364324194	0.010225286	0
0.340393806	0.089317364	0
0.352915122	0.04662703	0
0.431466841	0.045124653	0
0.33977346	0.029632276	0
0.375491397	0.028357095	0
0.350366364	0.029382467	0
0.298240174	0.033811467	0
0.346913326	0.017526352	0
0.315074663	0.02040663	0
0.319617701	0.02334395	0
0.348801456	0.027479113	0
0.362967566	0.039011785	0
0.339275129	0.044237933	0
0.38944186	0.03825332	0
0.382284761	0.058010592	0
0.358205012	0.052321507	0
0.379910369	0.016930525	0
0.348542343	0.036825061	0
0.368510638	0.024680513	0
0.392637595	0.029339559	0
0.365275791	0.026426435	0
0.360768207	0.013838504	0
0.369901835	0.042388832	0
0.409093868	0.088461833	0
0.360272258	0.036059366	0
0.32836188	0.060798176	0
0.282788335	0.015798164	0
0.279964747	0.007427004	0
0.23818495	0.020908698	0
0.357654745	0.024235552	0
0.31961112	0.009754933	0
0.263012782	0.020431324	0
0.30973596	0.038817797	0
0.241527572	0.018972135	0
0.268593471	0.007522332	0
0.269388066	0.010336385	0
0.321559646	0.013549399	0
0.274349299	0.009716991	0
0.267362261	0.009901148	0
0.32628831	0.062478087	0
0.310521541	0.021912069	0
0.286958698	0.010083829	0
0.322589597	0.022049394	0
0.269980009	0.010286128	0
0.336981084	0.066765579	0
0.2532584	0.021806127	0
0.332324718	0.02351326	0
0.343364991	0.028176206	0
0.32315361	0.01290964	0
0.294749912	0.010952398	0
0.333319377	0.055480634	0
0.380043156	0.180281014	0
0.322411778	0.074892765	0
0.346427234	0.053596629	0
0.405862829	0.159244891	0
0.277524174	0.018030158	0
0.264947742	0.059534935	0
0.296843487	0.108511847	0
0.339918259	0.094309869	0
0.318088931	0.013413788	0
0.348638786	0.019534633	0
0.333724782	0.011834261	0
0.337428497	0.00981186	0
0.357087303	0.004753968	0
0.351635811	0.009682169	0
0.344066902	0.01615048	0
0.359084181	0.011530212	0
0.286270416	0.018536587	0
0.353501754	0.017544589	0
0.334311169	0.002579469	0
0.385863963	0.007795053	0
0.337836892	0.006687915	0
0.3186026	0.006860435	0
0.302714933	0.007100579	0
0.30280549	0.012843063	0
0.313848299	0.007458037	0
0.33335211	0.00725213	0
0.295515337	0.030681315	0
0.295497952	0.037124448	0
0.297676255	0.035596056	0
0.290895621	0.037594376	0
0.316044559	0.020573937	0
0.331099556	0.02251286	0
0.347890092	0.009506646	0
0.338632917	0.010314681	0
0.322361641	0.017761998	0
0.348449416	0.004840875	0
0.322203534	0.015712069	0
0.295830097	0.006241647	0
0.337917818	0.015896733	0
0.297076045	0.018315961	0
0.660934769	0.036533878	0
0.311623191	0.012305978	0
0.339156017	0.009281306	0
0.283167101	0.002795495	0
0.522897037	0.173598604	0
0.290403167	0.018781123	0
0.303764447	0.015535988	0
0.300442234	0.020121954	0
0.284654081	0.017422774	0
0.304140579	0.005746625	0
0.332818137	0.029553205	0
0.33914827	0.009120219	0
0.347304514	0.011605415	0
0.360658139	0.004153512	0
0.358027075	0.011704672	0
0.401205602	0.005003338	0
0.343121484	0.006445157	0
0.324899752	0.022886835	0
0.359347506	0.007063476	0
0.297323185	0.014263233	0
0.285347778	0.010801878	0
0.334034257	0.02063849	0
0.294826497	0.01623396	0
0.33163753	0.025304843	0
0.307452728	0.025262859	0
0.291088933	0.018722053	0
0.295679431	0.035944346	0
0.295181386	0.013865878	0
0.280276007	0.039735759	0
0.297114562	0.03091557	0
0.341090264	0.016820058	0
0.303133846	0.012165137	0
0.313882323	0.007749574	0
0.345847576	0.022557317	0
0.369491632	0.034727027	0
0.318810779	0.021115607	0
0.377255516	0.025755413	0
0.2984063	0.02474384	0
0.340212149	0.08562284	0
0.317652847	0.162271493	0
0.30102595	0.009187711	0
0.270439715	0.02045611	0
0.293364185	0.015786193	0
0.304153986	0.059250823	0
0.31025056	0.042004877	0
0.3192177	0.005380714	0
0.215888517	0.035322408	0
0.238930731	0.038201465	0
0.211184282	0.051203747	0
0.227157605	0.031250164	0
0.309339761	0.009242599	0
0.399661823	0.011235448	0
0.379947411	0.011691724	0
0.37865319	0.015145871	0
0.414403047	0.016833065	0
0.372817299	0.013186163	0
0.390691588	0.022321453	0
0.355519542	0.012096256	0
0.294139107	0.005716905	0
0.340981441	0.014366442	0
0.351744708	0.01237401	0
0.344398357	0.043428059	0
0.375769308	0.019689039	0
0.366910898	0.00659203	0
0.352231966	0.017213416	0
0.355726632	0.007662615	0
0.363831519	0.006947918	0
0.360137145	0.017674833	0
0.368041795	0.011039986	0
0.337955032	0.009885068	0
0.357532853	0.012884662	0
0.36627261	0.016637644	0
0.35774639	0.015909971	0
0.376698788	0.034631579	0
0.376678462	0.039124824	0
0.374271394	0.041220248	0
0.385371375	0.035610196	0
0.374323445	0.017043454	0
0.375837745	0.032082079	0
0.359607004	0.040085925	0
0.364557741	0.148052619	0
0.371251815	0.116933433	0
0.355419394	0.080088641	0
0.358991509	0.019227888	0
0.35483253	0.012011772	0
0.333426479	0.019108984	0
0.331463672	0.012019161	0
0.328539438	0.013037826	0
0.358661079	0.039102672	0
0.352058543	0.028896793	0
0.324787131	0.053813233	0
0.330841669	0.007949568	0
0.30327613	0.022051932	0
0.307735139	0.025296439	0
0.329745323	0.018228454	0
0.332949254	0.028353416	0
0.331272347	0.038263217	0
0.346305651	0.038410675	0
0.356897283	0.073212732	0
0.336344735	0.055701432	0
0.319005952	0.029633193	0
0.56249875	0.134644554	0
0.337115468	0.022561097	0
0.355461239	0.055856378	0
0.341070046	0.054830728	0
0.317441772	0.037488921	0
0.334127231	0.029653017	0
0.335626777	0.066624337	0
0.313967624	0.033934967	0
0.330642128	0.016715059	0
0.374271455	0.013683378	0
0.369229652	0.018900342	0
0.315713801	0.026336261	0
0.29724016	0.028705189	0
0.366771387	0.032666074	0
0.356505828	0.049007746	0
0.360453112	0.027737669	0
0.358324839	0.021189202	0
0.395029456	0.03243054	0
0.304191121	0.038453763	0
0.241900167	0.028129212	0
0.29346853	0.027205218	0
0.304287805	0.017492505	0
0.341471004	0.01766021	0
0.290355317	0.031203893	0
0.282129291	0.003712935	0
0.315528828	0.023573394	0
0.340970942	0.024304617	0
0.337446317	0.015812745	0
0.312943207	0.042635106	0
0.660319252	0.102810592	0
0.28090829	0.018961343	0
0.291109063	0.022044503	0
0.339943229	0.009660433	0
0.31267733	0.025727977	0
0.328375238	0.01395982	0
0.275465823	0.189168742	0
0.29218699	0.039281873	0
0.30858534	0.0418866	0
0.304458717	0.047408735	0
0.293016351	0.048210488	0
0.322221781	0.054917956	0
0.320983486	0.024986091	0
0.356686167	0.025918971	0
0.317446188	0.008275706	0
0.292861822	0.023500956	0
0.321791392	0.031040426	0
0.335295272	0.027300283	0
0.348404492	0.040780318	0
0.366811897	0.014527598	0
0.338195427	0.026776457	0
0.319357352	0.010856542	0
0.316087784	0.011611987	0
0.319372911	0.022875932	0
0.360668103	0.053982489	0
0.341695886	0.063893793	0
0.307688746	0.019400245	0
0.30961624	0.01088632	0
0.270009833	0.028754596	0
0.335059441	0.1992573	0
0.401450564	0.008551314	0
0.283138057	0.011163911	0
0.286231758	0.013161545	0
0.335941334	0.017916426	0
0.315202338	0.031769323	0
0.370621909	0.03758068	0
0.340705497	0.019248462	0
0.331150629	0.021310696	0
0.353653911	0.038005089	0
0.318405255	0.010415896	0
0.338788115	0.020876993	0
0.324083374	0.008722999	0
0.332481426	0.026923211	0
0.377290196	0.038294467	0
0.377273106	0.017972806	0
0.388967816	0.047621848	0
0.320245999	0.025311871	0
0.376994801	0.035046042	0
0.381383413	0.023561626	0
0.397669852	0.032598105	0
0.375847587	0.070843938	0
0.373250384	0.030077632	0
0.330516979	0.020195157	0
0.332660909	0.017838669	0
0.364608979	0.012285487	0
0.386197849	0.021410297	0
0.361037964	0.018904249	0
0.390401045	0.036249333	0
0.231670503	0.021415886	0
0.266281181	0.014370057	0
0.205856695	0.00845012	0
0.224953735	0.023347934	0
0.337171857	0.087374859	0
0.323880352	0.030750105	0
0.327909323	0.02203869	0
0.337300012	0.04119501	0
0.327726367	0.087873453	0
0.274842449	0.010359471	0
0.290109043	0.020143458	0
0.275204784	0.003355845	0
0.3816675	0.009198709	0
0.406593245	0.005602535	0
0.357546291	0.013631554	0
0.337880422	0.047477282	0
0.31641315	0.017729441	0
0.34675577	0.007153983	0
0.342484293	0.008624877	0
0.232976814	0.0328145	0
0.574790346	0.032112771	0
0.395702634	0.010145061	0
0.318625864	0.007839925	0
0.27064675	0.009777905	0
0.344230766	0.003134766	0
0.37744142	0.003579064	0
0.367961221	0.046235371	0
0.316922406	0.047186891	0
0.23315608	0.031828324	0
0.295621573	0.021676808	0
0.272251296	0.021919149	0
0.284422402	0.034269593	0
0.281934899	0.032892434	0
0.231338657	0.020512358	0
0.204934444	0.01270621	0
0.323204011	0.016090604	0
0.296771845	0.011219776	0
0.326226112	0.054749649	0
0.332820937	0.016169495	0
0.331942341	0.013261854	0
0.278915686	0.077091096	0
0.34927431	0.068996163	0
0.263502052	0.143182108	0
0.212797725	0.13384582	0
0.196911252	0.267518055	0
0.262804863	0.143265489	0
0.204981839	0.330133339	0
0.277173587	0.055530957	0
0.133950111	0.397203268	0
0.30962029	0.041029382	0
0.27492553	0.006876443	0
0.337398466	0.609918964	1
0.270501161	0.438291355	1
0.324715764	0.61653876	1
0.318316976	0.615753086	1
0.339408782	0.593015165	1
0.339736648	0.738569055	1
0.346341019	0.744335206	1
0.34014308	0.69740727	1
0.328156924	0.798152679	1
0.267579168	0.569680984	1
0.305781639	0.512355094	1
0.345369534	0.433067972	1
0.316038489	0.526279157	1
0.311786438	0.543443097	1
0.315230021	0.642361014	1
0.305433111	0.527835925	1
0.318976711	0.489962487	1
0.290604519	0.564199506	1
0.367058154	0.484835424	1
0.229051514	0.765366293	1
0.23046516	0.683026	1
0.255760582	0.560328628	1
0.265781161	0.723169166	1
0.233312947	0.759292554	1
0.249021928	0.675831442	1
0.294157675	0.486960438	1
0.262835092	0.650154516	1
0.261408812	0.815899333	1
0.266730116	0.495463907	1
0.245778163	0.64691256	1
0.312341976	0.436777795	1
0.285692008	0.471227412	1
0.284450674	0.47986818	1
0.280260991	0.589464666	1
0.251809328	0.687135773	1
0.235225921	0.68047017	1
0.236703239	0.671495381	1
0.117293909	0.449066559	1
0.25202657	0.462343789	1
0.256323452	0.386025647	1
0.224586428	0.192580267	1
0.261143038	0.463009074	1
0.282007784	0.218872309	1
0.250934737	0.488427801	1
0.264441518	0.47537032	1
0.228732967	0.658477966	1
0.13759627	0.935610797	1
0.199293679	0.856355358	1
0.146840699	0.69212966	1
0.115437531	0.62667448	1
0.223075967	0.25629142	1
0.20925063	0.744545422	1
0.29306281	0.490113434	1
0.156142771	0.55720211	1
0.196490677	0.120320118	1
0.16491727	0.729994515	1
0.167953625	0.845064384	1
0.340728487	0.319224905	1
0.282893604	0.377410531	1
0.334250714	0.289079724	1
0.178066368	0.5643973	1
0.278676544	0.324291685	1
0.233078645	0.613695055	1
0.162995719	0.631004507	1
0.12478137	0.508450225	1
0.254989911	0.458540307	1
0.194526765	0.506412544	1
0.233421876	0.47386394	1
0.161618045	0.523800989	1
0.28510594	0.433391432	1
0.14410317	0.573959096	1
0.165279734	0.537184954	1
0.150829761	0.444170444	1
0.170317898	0.496344973	1
0.173815224	0.469506457	1
0.337029029	0.383128895	1
0.331744799	0.595616742	1
0.315954049	0.582359401	1
0.257797104	0.239940443	1
0.325397932	0.555310548	1
0.312186923	0.479596684	1
0.251310856	0.559144039	1
0.252844461	0.400041033	1
0.233950526	0.619241538	1
0.25679928	0.537805902	1
0.254652998	0.475815481	1
0.273409731	0.449971671	1
0.348272023	0.528629563	1
0.375251578	0.357375125	1
0.349710444	0.618260626	1
0.260983166	0.623403989	1
0.307091793	0.510501178	1
0.366196895	0.525877289	1
0.343307837	0.401387337	1
0.324598241	0.563845653	1
0.374291708	0.381224435	1
0.359371401	0.488171029	1
0.345004289	0.520418788	1
0.372226874	0.503904355	1
0.264716042	0.727418409	1
0.188362837	0.575937436	1
0.188131725	0.553700554	1
0.177613081	0.591794109	1
0.260172547	0.477563625	1
0.293422868	0.390209631	1
0.271580518	0.306195989	1
0.279225753	0.436410247	1
0.296720415	0.50232947	1
0.294769991	0.489739604	1
0.237044649	0.797989934	1
0.249120785	0.568587718	1
0.257503918	0.525694804	1
0.203065203	0.588137449	1
0.281967229	0.580229765	1
0.29116715	0.544078865	1
0.298291594	0.530612575	1
0.20509711	0.479926783	1
0.226629815	0.599205412	1
0.187962015	0.493085761	1
0.255871577	0.707903564	1
0.248387487	0.53349914	1
0.235073845	0.575640983	1
0.240593252	0.521223399	1
0.303573008	0.369746926	1
0.290543918	0.478574562	1
0.290855217	0.519961061	1
0.267830139	0.564447682	1
0.277629186	0.513052242	1
0.253061368	0.798604777	1
0.292137554	0.778531548	1
0.275708352	0.549299347	1
0.300085553	0.720014246	1
0.295182393	0.773521412	1
0.327301176	0.579491552	1
0.261593522	0.495675016	1
0.386710415	0.44626734	1
0.329878645	0.45286716	1
0.222581163	0.227105039	1
0.236575534	0.459671708	1
0.199957233	0.520790722	1
0.204858029	0.534764518	1
0.211331962	0.571370307	1
0.135193409	0.603731214	1
0.194767986	0.69330381	1
0.286826791	0.491449513	1
